pLV,pLA,pSA,pSV,VLV,VLA,Qav,Qmv,Qs,Qsv
13.526898829765692,3.5313747658813672,157.93697075842147,2.0430231640357475,103.49881065415276,53.738553946291866,-0.0,-0.0,92.73979984460108,153.5622657176616
13.526898829765692,3.5758922936325024,157.68293446990623,2.039487497750931,103.49881065415276,54.50775347981911,-0.0,-0.0,92.24376162752093,153.28815263761766
13.526898829765692,3.6201436457524276,157.4299822205465,2.0363505232686947,103.49881065415276,55.27235387719244,-0.0,-0.0,91.96716822081574,153.01346164124425
13.526898829765692,3.6641303173093376,157.17746190982953,2.0336050976314994,103.49881065415276,56.03238097106285,-0.0,-0.0,91.9158432092221,152.73911362495184
13.526898829765692,3.7078536773062907,156.92491471843235,2.0312441956555043,103.49881065415276,56.7878584158552,-0.0,-0.0,91.95961440031809,152.46589613544987
13.526898829765692,3.7513156072949814,156.67229502543165,2.029260909668042,103.49881065415276,57.5388187221054,-0.0,-0.0,91.9477951769758,152.1940286948595
13.526898829765692,3.794517507689162,156.41988254565922,2.0276484480748422,103.49881065415276,58.285286086970395,-0.0,-0.0,91.80493354912005,151.92318790946115
13.526898829765692,3.8374608724010435,156.16802432796928,2.0264001328040706,103.49881065415276,59.02728632312742,-0.0,-0.0,91.55498501542682,151.65285026372706
13.526898829765692,3.880147441876489,155.91690829351717,2.0255093963532493,103.49881065415276,59.76484950300444,-0.0,-0.0,91.27943403291755,151.3826590701213
13.526898829765692,3.9225785912125772,155.6664944848382,2.02496977921611,103.49881065415276,60.497999386322284,-0.0,-0.0,91.05264862203109,151.11259024223085
13.526898829765692,3.9647558715681845,155.41660171472404,2.024774928044766,103.49881065415276,61.22676277489912,-0.0,-0.0,90.89941486636262,150.84287312947063
13.526898829765692,4.006680902247419,155.16705441895215,2.0249185943805537,103.49881065415276,61.95116764800577,-0.0,-0.0,90.79390132805194,150.57378207926206
13.526898829765692,4.048355065547126,154.91778547946993,2.025394633511319,103.49881065415276,62.67123788976476,-0.0,-0.0,90.68911424820678,150.30545889459046
13.526898829765692,4.089779920951364,154.66884570951862,2.0261970030769185,103.49881065415276,63.38700044584157,-0.0,-0.0,90.55086523858452,150.0378637368269
13.526898829765692,4.130956995387508,154.42034023948406,2.027319761318008,103.49881065415276,64.09848169936852,-0.0,-0.0,90.37462976971686,149.77084823597272
13.526898829765692,4.171887686832642,154.17235011832574,2.028757065119909,103.49881065415276,64.80570580540038,-0.0,-0.0,90.18002243247794,149.50427312962847
13.526898829765692,4.212573532965083,153.92489005885588,2.0305031681024257,103.49881065415276,65.50869933283039,-0.0,-0.0,89.99238233576692,149.23808782944067
13.526898829765692,4.253015995432316,153.67791753400093,2.032552418922859,103.49881065415276,66.2074875368473,-0.0,-0.0,89.82604206235229,148.9723349600108
13.526898829765692,4.2932164837615066,153.4313735384781,2.0348992598042717,103.49881065415276,66.90209477207483,-0.0,-0.0,89.6788212208873,148.70709796718694
13.526898829765692,4.333176498465214,153.18522191713086,2.0375382251752354,103.49881065415276,67.59254696523483,-0.0,-0.0,89.53790770388622,148.44243884851986
13.526898829765692,4.37289745716011,152.9394640978485,2.04046394029134,103.49881065415276,68.27886861072625,-0.0,-0.0,89.39046382148167,148.1783660282501
13.526898829765692,4.412380771041294,152.6941273047778,2.04367111976729,103.49881065415276,68.96108409199232,-0.0,-0.0,89.23129829845594,147.9148431412417
13.526898829765692,4.4516278991093685,152.44924062534724,2.047154566037789,103.49881065415276,69.63921861848738,-0.0,-0.0,89.06385218125482,147.65182214675
13.526898829765692,4.490640228518911,152.20481660679926,2.0509091678182836,103.49881065415276,70.31329615826868,-0.0,-0.0,88.89574075871226,147.3892742528076
13.526898829765692,4.529419162624036,151.9608478464776,2.054929898629244,103.49881065415276,70.98334095929843,-0.0,-0.0,88.73304945363381,147.12720075289718
13.526898829765692,4.567966119524241,151.71731643995474,2.0592118154071897,103.49881065415276,71.64937752431808,-0.0,-0.0,88.57711880176223,146.8656229116868
13.526898829765692,4.606282464129484,151.4742070945303,2.0637500571820704,103.49881065415276,72.31142943702947,-0.0,-0.0,88.42506190654801,146.60456271333103
13.526898829765692,4.644369583744643,151.23151503692316,2.068539843778077,103.49881065415276,72.96952066808687,-0.0,-0.0,88.27266100061856,146.34402854624065
13.526898829765692,4.682228859650774,150.98924544600544,2.0735764745082212,103.49881065415276,73.62367508406143,-0.0,-0.0,88.11725362429787,146.08401299034412
13.526898829765692,4.7198616376496725,150.74740710408656,2.078855326856348,103.49881065415276,74.27391593849316,-0.0,-0.0,87.95889610942382,145.82450065667783
13.526898829765692,4.757269283742737,150.5060056494747,2.084371855164794,103.49881065415276,74.9202668339425,-0.0,-0.0,87.79957010761505,145.56547864477085
13.526898829765692,4.794453146528166,150.26504058477443,2.0901215893472944,103.49881065415276,75.56275107226736,-0.0,-0.0,87.64146662690608,145.30694260739554
13.526898829765692,4.83141455378547,150.02450678751003,2.0961001336410394,103.49881065415276,76.20139159560826,-0.0,-0.0,87.4856174682279,145.04889602791144
13.526898829765692,4.868154847245832,149.78439835867673,2.102303165395253,103.49881065415276,76.83621158717088,-0.0,-0.0,87.33159958623682,144.79134503864418
13.526898829765692,4.9046753466864805,149.54471187489946,2.1087264338866145,103.49881065415276,77.46723385082774,-0.0,-0.0,87.17819160809648,144.53429309325486
13.526898829765692,4.940977361037156,149.3054472576971,2.1153657591474397,103.49881065415276,78.09448100302222,-0.0,-0.0,87.02432389127702,144.27773873157972
13.526898829765692,4.977062206694475,149.06660640537473,2.122217030803232,103.49881065415276,78.71797578921472,-0.0,-0.0,86.86967574941401,144.021676906043
13.526898829765692,5.012931177450634,148.8281910242897,2.129276206922362,103.49881065415276,79.33774056429337,-0.0,-0.0,86.71465778238432,143.76610209415753
13.526898829765692,5.048585562772733,148.5902011801303,2.1365393128827423,103.49881065415276,79.95379760841483,-0.0,-0.0,86.55996407042059,143.51101083411262
13.526898829765692,5.08402665337117,148.35263522820543,2.1440024402604756,103.49881065415276,80.56616922321814,-0.0,-0.0,86.4060772563904,143.2564023421623
